Zeitschrift;revue
Ballon;ballon
Urgroßvater;arrière-grand-père
Flaum;duvet
Wörterverzeichnis;vocabulaire
Speck;lard
Groll;colère
abscheren;couper avec des ciseaux
beweisen;prouver
aufstoßen;roter
wühlen;creuser
Konflikt;conflit
pfropfen;greffer
Dekoration;décoration
Urwald;forêt vierge
stätig;continuellement
einbinden;relier
willkürlich;arbitraire
Gemüt;coeur
Freundin;amie
entgegnen;répondre
Loge;loge
Quitte;coing
Todeskampf;agonie
indirekt;oblique
trunken;ivre
entbinden;absoudre
Hülse;coque
Turm;tour
Schleuse;écluse
aufzehren;dévorer
Flugplatz;aéroport
Hausflur;corridoir
Hering;hareng
verheißen;promettre
Bettstelle;lit
teuer;cher
unüberlegt;étourdi
Utopie;utopie
Problem;problème
Erfolg haben;réussir
Handel;commerce
ausgehen;sortir
polnisch;polonais
verdienen;mériter
Annahme;accueil
Zutat;matériau
Mauer;mur
Schalter;guichet
Jagd;chasse
seine Zuflucht nehmen zu;se réfugier
Truthahn;dindon
schlecht;mal
schrecklich;terrible
allerliebst;charmant
azurn;azur
Balsam;beaume
Henne;poule
offenbar;évidemment
Heizung;chauffage
vier;quatre
Pflug;charrue
Gast;hôte
Polizeiamt;commissariat
blaß;pâle
Bisquit;biscuit
Loggia;loge
schwach;faible
Posaune;trombone
proponieren;proposer
Polizeiwache;commissariat
sinnreich;spirituel
Eindruck machen auf;en imposer à
Lehre;doctrine
wider;en face de
wann;quand
Kai;quai
Horizont;horizon
bezweifeln;douter
Sonnenschirm;ombrelle
Seil;corde
Rekord;record
Miene;mine
zuversichtlich;sûr
Wecker;réveil-matin
regieren;gouverner
Gewandtheit;adresse
Kasse;caisse
umzingeln;entourer
Ebene;plaine
Knopf;bouton
vertagen;retarder
Formel;formule
Grat;épine
Sinn;sens
Handtuch;serviette
federnd;elastique
Aviatik;aviation
Botschafter;ambassadeur
Schneeflocke;flocon de neige
Maulwurf;taupe
spröde;raide
Deck;pont
Kompaß;boussole
entzweien;disperser
unbedingt;absolu
Mühe;peine
Wuchs;accroissement
Kultus;culte
modern;moderne
Prophet;prophète
dienen;servir
Aussprache;prononciation
Geste;geste
tönen;résonner
Klavier;piano
Hindin;biche
Disziplin;discipline
fragen;poser une question
Phrase;phrase
gründen;fonder
mutmaßen;se douter de
Rubrik;rubrique
malerisch;pittoresque
edelmütig;noble
rigorös;rigoureux
Republik;république
absurd;absurde
Zacken;dent
Kasserole;casserole
Ironie;ironie
Scheidewasser;eau-forte
Jäger;chasseur
Höcker;bosse
allweg;de toute manière
Interview;entrevue
Adept;adhérent
Müll;ordures
bezeugen;attester
Parade machen;parader
faulen;pourrir
aufmessen;mesurer
daß;afin de pour
süß;doux
Zinn;étain
deponieren;déposer
zerstören;détruire
am Sonntag;le dimanche
zögern;hésiter
fordern;exiger
paralysieren;paralyser
erbeben;tressaillir
umgekehrt;inverse
weiß;blanc
entdecken;découvrir
Inbrunst;ferveur
gesetzt;sérieux
bestimmen;destiner
Axt;hache
